Event,Place,Entry,Lane,Time,Margin
#4 8 Mens Masters B 8+ (36-42) Final (07:39:00) Official,2,"Long Beach (Tucker, Z.) ",3,06:54.721,16.165
#4 8 Mens Masters B 8+ (36-42) Final (07:39:00) Official,3,Los Angeles,4,07:07.138,28.582
#4 8 Mens Masters B 8+ (36-42) Final (07:39:00) Official,4,"Potomac (DeLo, C.) ",2,07:08.848,30.292
#4 8 Mens Masters B 8+ (36-42) Final (07:39:00) Official,5,Lake Merritt,5,07:14.861,36.305
#4 8 Mens Masters B 8+ (36-42) Final (07:39:00) Official,6,"Lake Union (King, A.) ",6,07:15.648,37.092
#5 39 Womens Masters C 8+ (43-49) Final (07:47:00) Official,1,"Endeavor Racing Alliance/Cambridge/Penn AC/Long Beach/Unaff(USA)/Connecticut/Radcliffe Alumni/San Diego RC (O'Brien, W.) ",3,07:21.784,
#5 39 Womens Masters C 8+ (43-49) Final (07:47:00) Official,2,Texas RC,2,07:41.184,19.400
#5 39 Womens Masters C 8+ (43-49) Final (07:47:00) Official,3,"San Diego RC (Ahlman, S.) ",1,07:50.307,28.523
#5 39 Womens Masters C 8+ (43-49) Final (07:47:00) Official,4,"Lake Union (Hein, N.) ",5,07:51.609,29.825
#5 39 Womens Masters C 8+ (43-49) Final (07:47:00) Official,5,"Station L (Walker, S.) ",4,08:04.969,43.185
#6 11 Mens Masters C 8+ Final (07:55:00) Official,1,"Palm Beach (Morelli, P.) ",2,06:52.745,
#6 11 Mens Masters C 8+ Final (07:55:00) Official,2,"San Diego RC (Johnson, R.) ",1,07:44.035,51.290
#6 11 Mens Masters C 8+ Final (07:55:00) Official,3,"Pacific (Kirby, M.) ",3,07:47.880,55.135
#7 43 Womens Masters D 8+ (50-54) Final (08:03:00) Official,1,"Sarasota (Corbett-Brown, L.) ",3,07:37.401,
#7 43 Womens Masters D 8+ (50-54) Final (08:03:00) Official,2,"Endeavor Racing Alliance (McCormick, E.) ",2,07:40.466,03.065
#7 43 Womens Masters D 8+ (50-54) Final (08:03:00) Official,3,"College Club Seattle (Scull, C.) ",1,07:42.478,05.077
#7 43 Womens Masters D 8+ (50-54) Final (08:03:00) Official,4,"ZLAC (Gregory, A.) ",4,07:58.876,21.475
#7 43 Womens Masters D 8+ (50-54) Final (08:03:00) Official,5,"Los Angeles (Davis, K.) ",6,08:21.918,44.517
#7 43 Womens Masters D 8+ (50-54) Final (08:03:00) Official,-,"Long Beach (Bonuso, N.) ",5,Scratch,
#8 14 Mens Masters D 8+ (50-54) Final (08:11:00) Official,1,"Unaff. (CAN) (Forgeron, M.) ",1,06:46.768,
#8 14 Mens Masters D 8+ (50-54) Final (08:11:00) Official,2,Ex Nemo,4,06:48.468,01.700
#8 14 Mens Masters D 8+ (50-54) Final (08:11:00) Official,3,"North Dakota (FROST, D.) ",2,06:57.086,10.318
#8 14 Mens Masters D 8+ (50-54) Final (08:11:00) Official,4,Texas RC,3,07:00.571,13.803
#8 14 Mens Masters D 8+ (50-54) Final (08:11:00) Official,5,"East Bay (Demorest, A.) ",5,07:35.411,48.643
#9 48 Womens Masters E 8+ (55-59) Final (08:19:00) Official,1,"Endeavor Racing Alliance (Friel, H.) ",1,08:06.352,
#9 48 Womens Masters E 8+ (55-59) Final (08:19:00) Official,2,Long Beach,2,08:51.412,45.060
#9 48 Womens Masters E 8+ (55-59) Final (08:19:00) Official,3,"San Diego RC (Pili, D.) ",4,09:21.885,01:15.533
#9 48 Womens Masters E 8+ (55-59) Final (08:19:00) Official,4,ZLAC,3,09:37.550,01:31.198
#10 18 Mens Masters E 8+ (55-59) Final (08:27:00) Official,1,"Kent Mitchell (Still, M.) ",1,06:56.967,
#10 18 Mens Masters E 8+ (55-59) Final (08:27:00) Official,2,"San Diego (Kapicka, M.) ",2,07:01.963,04.996
#10 18 Mens Masters E 8+ (55-59) Final (08:27:00) Official,3,"Station L (Glasfeld, A.) ",3,07:11.792,14.825
"#11 37 Womens Youth 4x Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (08:35:00) Official",1,"Redwood Scullers A (Phipps, C.) ",1,07:31.042,
"#11 37 Womens Youth 4x Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (08:35:00) Official",2,Newport Sea Base A,2,07:50.035,18.993
"#11 37 Womens Youth 4x Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (08:35:00) Official",3,Los Gatos B,5,07:51.481,20.439
"#11 37 Womens Youth 4x Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (08:35:00) Official",4,Texas RC,3,08:03.487,32.445
"#11 37 Womens Youth 4x Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (08:35:00) Official",5,Lake Las Vegas,4,08:37.417,01:06.375
#12 37 Womens Youth 4x Heat 2 (08:43:00) Official,1,Los Gatos A,2,07:40.728,
#12 37 Womens Youth 4x Heat 2 (08:43:00) Official,2,Long Beach Junior Crew,1,07:48.669,07.941
#12 37 Womens Youth 4x Heat 2 (08:43:00) Official,3,Norcal Crew,3,08:01.092,20.364
#12 37 Womens Youth 4x Heat 2 (08:43:00) Official,4,Maritime RC B,4,08:04.140,23.412
#12 37 Womens Youth 4x Heat 2 (08:43:00) Official,5,"Redwood Scullers C (Bollyky, G.) ",6,08:09.153,28.425
#12 37 Womens Youth 4x Heat 2 (08:43:00) Official,6,"RowLA (Goldstein, E.) ",5,08:16.857,36.129
#13 37 Womens Youth 4x Heat 3 (08:51:00) Official,1,Maritime RC A,1,07:52.240,
#13 37 Womens Youth 4x Heat 3 (08:51:00) Official,2,"Redwood Scullers B (Ha, A.) ",2,07:53.540,01.300
#13 37 Womens Youth 4x Heat 3 (08:51:00) Official,3,Newport Sea Base B,6,08:19.510,27.270
#13 37 Womens Youth 4x Heat 3 (08:51:00) Official,4,Casitas Rowing,4,08:20.600,28.360
#13 37 Womens Youth 4x Heat 3 (08:51:00) Official,5,"Austin (Apostolakis, A.) ",3,08:44.030,51.790
#13 37 Womens Youth 4x Heat 3 (08:51:00) Official,6,Community Rowing SD,5,12:24.100,04:31.860
"#14 Mens Youth 4x Heat 1 Top 2 to Final 1, NFT (3rd) to Final 1; Next 3rds, 4ths, and NFT 5ths (2) to Final 2; Remainder to Final 3 (08:59:00) Official",1,Newport Sea Base A,1,06:38.301,
"#14 Mens Youth 4x Heat 1 Top 2 to Final 1, NFT (3rd) to Final 1; Next 3rds, 4ths, and NFT 5ths (2) to Final 2; Remainder to Final 3 (08:59:00) Official",2,Artemis,2,06:56.024,17.723
"#14 Mens Youth 4x Heat 1 Top 2 to Final 1, NFT (3rd) to Final 1; Next 3rds, 4ths, and NFT 5ths (2) to Final 2; Remainder to Final 3 (08:59:00) Official",3,Capital,3,07:01.982,23.681
"#14 Mens Youth 4x Heat 1 Top 2 to Final 1, NFT (3rd) to Final 1; Next 3rds, 4ths, and NFT 5ths (2) to Final 2; Remainder to Final 3 (08:59:00) Official",4,"Redwood Scullers B (Perlroth, A.) ",5,07:03.582,25.281
"#14 Mens Youth 4x Heat 1 Top 2 to Final 1, NFT (3rd) to Final 1; Next 3rds, 4ths, and NFT 5ths (2) to Final 2; Remainder to Final 3 (08:59:00) Official",5,Maritime RC B,4,07:10.845,32.544
"#14 Mens Youth 4x Heat 1 Top 2 to Final 1, NFT (3rd) to Final 1; Next 3rds, 4ths, and NFT 5ths (2) to Final 2; Remainder to Final 3 (08:59:00) Official",6,Texas RC B,6,07:38.057,59.756
#15 Mens Youth 4x Heat 2 (09:07:00) Official,1,Maritime RC A,1,06:47.160,
#15 Mens Youth 4x Heat 2 (09:07:00) Official,2,"Redwood Scullers A (Vaksman, C.) ",2,06:49.582,02.422
#15 Mens Youth 4x Heat 2 (09:07:00) Official,3,Texas RC A,3,06:53.774,06.614
#15 Mens Youth 4x Heat 2 (09:07:00) Official,4,"Los Gatos B (Lasso, A.) ",5,07:14.510,27.350
#15 Mens Youth 4x Heat 2 (09:07:00) Official,5,Newport Sea Base B,6,07:23.085,35.925
#15 Mens Youth 4x Heat 2 (09:07:00) Official,6,"Austin (Miguel, R.) ",4,07:35.995,48.835
#16 Mens Youth 4x Heat 3 (09:15:00) Official,1,"Los Gatos A (Kramer, M.) ",1,06:44.187,
#16 Mens Youth 4x Heat 3 (09:15:00) Official,2,"Long Beach Junior Crew (Griffin, T.) ",2,06:49.477,05.290
#16 Mens Youth 4x Heat 3 (09:15:00) Official,3,Casitas Rowing,3,07:00.914,16.727
#16 Mens Youth 4x Heat 3 (09:15:00) Official,4,OARS,4,07:01.202,17.015
#16 Mens Youth 4x Heat 3 (09:15:00) Official,5,"River City (Hoernlein, T.) ",6,07:32.933,48.746
#16 Mens Youth 4x Heat 3 (09:15:00) Official,6,Lake Las Vegas,5,07:46.877,01:02.690
#17 Womens U16 8+ Heat 1 All to Final (09:23:00) Official,1,"Marin (Ellington, B.) ",1,07:42.789,
#17 Womens U16 8+ Heat 1 All to Final (09:23:00) Official,2,Newport Sea Base,3,08:12.418,29.629
#17 Womens U16 8+ Heat 1 All to Final (09:23:00) Official,3,Norcal Crew,2,08:16.441,33.652
#17 Womens U16 8+ Heat 1 All to Final (09:23:00) Official,4,"CCHS Crew (Galluccio, S.) ",4,08:47.075,01:04.286
#18 12 Mens U16 8+ Heat 1 All to Final (09:31:00) Official,1,"Marin (Fasano, N.) ",1,06:52.038,
#18 12 Mens U16 8+ Heat 1 All to Final (09:31:00) Official,2,Pacific,2,06:58.580,06.542
#18 12 Mens U16 8+ Heat 1 All to Final (09:31:00) Official,3,"Long Beach Junior Crew (Price, K.) ",5,07:23.303,31.265
#18 12 Mens U16 8+ Heat 1 All to Final (09:31:00) Official,4,Norcal Crew,3,07:44.563,52.525
#18 12 Mens U16 8+ Heat 1 All to Final (09:31:00) Official,5,Dallas United,4,08:12.261,01:20.223
#19 42 Womens U16 4x+ Heat 1 All to Final (09:39:00) Official,1,Maritime RC,1,08:22.293,
#19 42 Womens U16 4x+ Heat 1 All to Final (09:39:00) Official,2,"Redwood Scullers (Naveen, A.) ",2,08:47.805,25.512
#19 42 Womens U16 4x+ Heat 1 All to Final (09:39:00) Official,3,Norcal Crew,3,10:17.901,01:55.608
#20 Mens U16 4x+ Heat 1 All to Final (09:47:00) Official,1,Newport Sea Base,3,07:44.661,
#20 Mens U16 4x+ Heat 1 All to Final (09:47:00) Official,2,OARS,1,07:54.424,09.763
#20 Mens U16 4x+ Heat 1 All to Final (09:47:00) Official,3,Lake Las Vegas,4,08:16.359,31.698
#20 Mens U16 4x+ Heat 1 All to Final (09:47:00) Official,4,"CCHS Crew (MacNab, J.) ",5,08:18.815,34.154
#20 Mens U16 4x+ Heat 1 All to Final (09:47:00) Official,5,Norcal Crew,2,08:19.215,34.554
"#21 Womens U17 4x Heat 1 Top 3 to Final 1, Remainder to Final 2 (09:55:00) Official",1,"Redwood Scullers A (PETRI, O.) ",1,07:46.824,
"#21 Womens U17 4x Heat 1 Top 3 to Final 1, Remainder to Final 2 (09:55:00) Official",2,"Los Gatos (Sivi, A.) ",2,07:58.874,12.050
"#21 Womens U17 4x Heat 1 Top 3 to Final 1, Remainder to Final 2 (09:55:00) Official",3,Texas RC,3,08:20.965,34.141
"#21 Womens U17 4x Heat 1 Top 3 to Final 1, Remainder to Final 2 (09:55:00) Official",4,Norcal Crew,4,08:22.280,35.456
#22 Womens U17 4x Heat 2 (10:03:00) Official,1,Connecticut,2,07:59.789,
#22 Womens U17 4x Heat 2 (10:03:00) Official,2,"Redwood Scullers B (Khawaja, F.) ",3,08:18.377,18.588
#22 Womens U17 4x Heat 2 (10:03:00) Official,3,Maritime RC,1,08:30.260,30.471
#22 Womens U17 4x Heat 2 (10:03:00) Official,4,Lake Las Vegas,4,08:48.919,49.130
"#23 Mens U17 4x Heat 1 Top 3 to Final 1, Remainder to Final 2 (10:11:00) Official",1,Maritime RC A,1,06:51.972,
"#23 Mens U17 4x Heat 1 Top 3 to Final 1, Remainder to Final 2 (10:11:00) Official",2,"Los Gatos A (Shetler, L.) ",2,07:01.914,09.942
"#23 Mens U17 4x Heat 1 Top 3 to Final 1, Remainder to Final 2 (10:11:00) Official",3,"River City (Davids, B.) ",4,07:26.514,34.542
"#23 Mens U17 4x Heat 1 Top 3 to Final 1, Remainder to Final 2 (10:11:00) Official",4,"Austin (Engler, G.) ",3,07:48.543,56.571
#24 Mens U17 4x Heat 2 (10:19:00) Official,1,Maritime RC B,3,07:05.647,
#24 Mens U17 4x Heat 2 (10:19:00) Official,2,"Redwood Scullers (Gurenkov, D.) ",2,07:12.205,06.558
#24 Mens U17 4x Heat 2 (10:19:00) Official,3,OARS,1,07:20.336,14.689
#24 Mens U17 4x Heat 2 (10:19:00) Official,4,"Los Gatos B (Yoo, D.) ",4,07:29.912,24.265
"#25 Mens Masters 8+ H, I (70+) Final 1 (10:39:00) Official",1,Kent Mitchell (H),1,08:00.633,
"#25 Mens Masters 8+ H, I (70+) Final 1 (10:39:00) Official",2,San Diego RC (H),2,09:10.147,01:09.514
#26 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Heat 1 All to Final (10:47:00) Official,1,Texas Austin,1,06:43.845,
#26 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Heat 1 All to Final (10:47:00) Official,2,California,2,06:47.958,04.113
#26 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Heat 1 All to Final (10:47:00) Official,3,"Washington (Cossill, E.) ",4,06:56.635,12.790
#26 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Heat 1 All to Final (10:47:00) Official,4,USC,5,06:58.953,15.108
#26 Womens Collegiate Varsity Jessop-Whittier Cup Invitational Heat 1 All to Final (10:47:00) Official,5,UCLA,3,07:07.112,23.267
#27 Womens Grace Rett Memorial Collegiate Varsity DII/III/Club Heat 1 All to Final (10:55:00) Official,1,UC Santa Barbara,3,07:42.034,
#27 Womens Grace Rett Memorial Collegiate Varsity DII/III/Club Heat 1 All to Final (10:55:00) Official,2,Purdue,2,07:47.234,05.200
#27 Womens Grace Rett Memorial Collegiate Varsity DII/III/Club Heat 1 All to Final (10:55:00) Official,3,U of Calgary RC,1,08:10.865,28.831
#27 Womens Grace Rett Memorial Collegiate Varsity DII/III/Club Heat 1 All to Final (10:55:00) Official,4,Colorado,4,08:17.990,35.956
"#28 Womens Collegiate Varsity UCSD Health Cal Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:03:00) Official",1,San Diego,1,07:14.097,
"#28 Womens Collegiate Varsity UCSD Health Cal Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:03:00) Official",2,Oklahoma,3,07:15.758,01.661
"#28 Womens Collegiate Varsity UCSD Health Cal Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:03:00) Official",3,UC San Diego,4,07:21.270,07.173
"#28 Womens Collegiate Varsity UCSD Health Cal Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:03:00) Official",4,"Old Dominion (Carlisle, A.) ",6,07:23.356,09.259
"#28 Womens Collegiate Varsity UCSD Health Cal Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:03:00) Official",5,"MIT (LTWT) (Love, K.) ",7,07:26.045,11.948
"#28 Womens Collegiate Varsity UCSD Health Cal Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:03:00) Official",6,Bates,2,07:26.231,12.134
"#28 Womens Collegiate Varsity UCSD Health Cal Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:03:00) Official",7,Marist,5,07:31.695,17.598
#29 Womens Collegiate Varsity UCSD Health Cal Cup Heat 2 (11:11:00) Official,1,Stanford,2,06:55.680,
#29 Womens Collegiate Varsity UCSD Health Cal Cup Heat 2 (11:11:00) Official,2,Gonzaga,1,06:58.784,03.104
#29 Womens Collegiate Varsity UCSD Health Cal Cup Heat 2 (11:11:00) Official,3,"Sacramento St (YOUNG, H.) ",3,07:12.434,16.754
#29 Womens Collegiate Varsity UCSD Health Cal Cup Heat 2 (11:11:00) Official,4,MIT,4,07:20.286,24.606
#29 Womens Collegiate Varsity UCSD Health Cal Cup Heat 2 (11:11:00) Official,5,Loyola Marymount,6,07:25.586,29.906
#29 Womens Collegiate Varsity UCSD Health Cal Cup Heat 2 (11:11:00) Official,6,Portland,5,07:25.894,30.214
#29 Womens Collegiate Varsity UCSD Health Cal Cup Heat 2 (11:11:00) Official,7,"SeattleU (Logan, C.) ",7,07:42.461,46.781
"#30 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 1 1-2 to Final 1 (Copley Cup), 3-4 to Final 2 (Cal Cup), Remainder to Final 3 (11:19:00) Official",1,San Diego,1,06:26.570,
"#30 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 1 1-2 to Final 1 (Copley Cup), 3-4 to Final 2 (Cal Cup), Remainder to Final 3 (11:19:00) Official",2,Bates,2,06:30.710,04.140
"#30 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 1 1-2 to Final 1 (Copley Cup), 3-4 to Final 2 (Cal Cup), Remainder to Final 3 (11:19:00) Official",3,MIT,3,06:35.200,08.630
"#30 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 1 1-2 to Final 1 (Copley Cup), 3-4 to Final 2 (Cal Cup), Remainder to Final 3 (11:19:00) Official",4,UC Santa Barbara,4,06:38.050,11.480
"#30 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 1 1-2 to Final 1 (Copley Cup), 3-4 to Final 2 (Cal Cup), Remainder to Final 3 (11:19:00) Official",5,Long Beach St,5,06:57.100,30.530
#31 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 2 (11:27:00) Official,1,A.S.R. Nereus,1,06:16.309,
#31 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 2 (11:27:00) Official,2,Gonzaga,2,06:24.350,08.041
#31 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 2 (11:27:00) Official,3,"Marietta (Puntarelli, G.) ",3,06:37.684,21.375
#31 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 2 (11:27:00) Official,4,Orange Coast,4,06:41.002,24.693
#31 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 2 (11:27:00) Official,5,UC Davis,5,06:51.777,35.468
#32 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 3 (11:35:00) Official,1,UC San Diego,2,06:21.669,
#32 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 3 (11:35:00) Official,2,Marist,1,06:24.419,02.750
#32 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 3 (11:35:00) Official,3,UCLA,3,06:27.596,05.927
#32 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 3 (11:35:00) Official,4,Purdue,4,06:28.080,06.411
#32 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 3 (11:35:00) Official,5,Loyola Marymount,5,06:52.527,30.858
#32 Mens Varsity Active&Fit Now Cal/Copley Cup Eight Heat 3 (11:35:00) Official,6,Colorado,6,07:13.732,52.063
"#33 50 Womens Collegiate Varsity 4+ Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:43:00) Official",1,USC,2,07:39.377,
"#33 50 Womens Collegiate Varsity 4+ Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:43:00) Official",2,"Washington (McNamara-Smith, C.) ",3,07:49.465,10.088
"#33 50 Womens Collegiate Varsity 4+ Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:43:00) Official",3,Oklahoma,4,08:05.742,26.365
"#33 50 Womens Collegiate Varsity 4+ Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:43:00) Official",4,San Diego,1,08:12.413,33.036
"#33 50 Womens Collegiate Varsity 4+ Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:43:00) Official",5,UC San Diego,5,08:33.227,53.850
"#33 50 Womens Collegiate Varsity 4+ Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:43:00) Official",6,"Old Dominion (Hoff, A.) ",7,08:39.475,01:00.098
"#33 50 Womens Collegiate Varsity 4+ Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (11:43:00) Official",7,Portland,6,08:43.738,01:04.361
#34 50 Womens Collegiate Varsity 4+ Heat 2 (11:51:00) Official,1,Texas Austin,1,07:35.318,
#34 50 Womens Collegiate Varsity 4+ Heat 2 (11:51:00) Official,2,California,2,07:41.910,06.592
#34 50 Womens Collegiate Varsity 4+ Heat 2 (11:51:00) Official,3,Gonzaga,3,08:03.664,28.346
#34 50 Womens Collegiate Varsity 4+ Heat 2 (11:51:00) Official,4,UCLA,4,08:09.062,33.744
#34 50 Womens Collegiate Varsity 4+ Heat 2 (11:51:00) Official,5,MIT,6,08:27.781,52.463
#34 50 Womens Collegiate Varsity 4+ Heat 2 (11:51:00) Official,6,"Sacramento St (Nixon, B.) ",5,08:28.445,53.127
"#35 4 Womens Collegiate 2V Heat 1 1-4 to Final 1, Remainder to Final 2 (11:59:00) Official",1,California,2,06:55.154,
"#35 4 Womens Collegiate 2V Heat 1 1-4 to Final 1, Remainder to Final 2 (11:59:00) Official",2,USC,1,06:55.666,00.512
"#35 4 Womens Collegiate 2V Heat 1 1-4 to Final 1, Remainder to Final 2 (11:59:00) Official",3,UCLA,3,07:13.354,18.200
"#35 4 Womens Collegiate 2V Heat 1 1-4 to Final 1, Remainder to Final 2 (11:59:00) Official",4,Oklahoma,4,07:19.779,24.625
"#35 4 Womens Collegiate 2V Heat 1 1-4 to Final 1, Remainder to Final 2 (11:59:00) Official",5,San Diego,5,07:25.906,30.752
"#35 4 Womens Collegiate 2V Heat 1 1-4 to Final 1, Remainder to Final 2 (11:59:00) Official",6,"Sacramento St (Goddard, W.) ",6,07:27.891,32.737
"#35 4 Womens Collegiate 2V Heat 1 1-4 to Final 1, Remainder to Final 2 (11:59:00) Official",7,Marist,7,07:37.908,42.754
"#35 4 Womens Collegiate 2V Heat 1 1-4 to Final 1, Remainder to Final 2 (11:59:00) Official",8,Portland,8,07:39.350,44.196
#36 4 Womens Collegiate 2V Heat 2 (15:36:00) Official,1,Texas Austin,1,06:30.880,
#36 4 Womens Collegiate 2V Heat 2 (15:36:00) Official,2,"Washington (Bryant, M.) ",2,06:34.127,03.247
#36 4 Womens Collegiate 2V Heat 2 (15:36:00) Official,3,Stanford,3,06:47.952,17.072
#36 4 Womens Collegiate 2V Heat 2 (15:36:00) Official,4,Gonzaga,4,06:48.805,17.925
#36 4 Womens Collegiate 2V Heat 2 (15:36:00) Official,5,UC San Diego,6,06:59.825,28.945
#36 4 Womens Collegiate 2V Heat 2 (15:36:00) Official,6,Loyola Marymount,8,07:01.900,31.020
#36 4 Womens Collegiate 2V Heat 2 (15:36:00) Official,7,MIT,7,07:07.032,36.152
#36 4 Womens Collegiate 2V Heat 2 (15:36:00) Official,8,Bates,5,07:12.945,42.065
"#37 23 Mens Collegiate 2V Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:15:00) Official",1,Purdue,4,06:39.418,
"#37 23 Mens Collegiate 2V Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:15:00) Official",2,Gonzaga,2,06:40.876,01.458
"#37 23 Mens Collegiate 2V Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:15:00) Official",3,San Diego,1,06:42.510,03.092
"#37 23 Mens Collegiate 2V Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:15:00) Official",4,MIT,3,06:43.955,04.537
"#37 23 Mens Collegiate 2V Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:15:00) Official",5,UCLA,5,06:56.245,16.827
#38 23 Mens Collegiate 2V Heat 2 (12:23:00) Official,1,UC San Diego,2,06:28.526,
#38 23 Mens Collegiate 2V Heat 2 (12:23:00) Official,2,Marist,1,06:33.855,05.329
#38 23 Mens Collegiate 2V Heat 2 (12:23:00) Official,3,"Marietta (McWhite, J.) ",4,06:41.794,13.268
#38 23 Mens Collegiate 2V Heat 2 (12:23:00) Official,4,Bates,3,06:43.340,14.814
#38 23 Mens Collegiate 2V Heat 2 (12:23:00) Official,-,Colorado,5,DNS,
#39 7 Womens Collegiate Novice Heat 1 All to Final (12:31:00) Official,1,"Washington (Fehling, B.) ",1,07:14.448,
#39 7 Womens Collegiate Novice Heat 1 All to Final (12:31:00) Official,2,UCLA,2,07:21.842,07.394
#39 7 Womens Collegiate Novice Heat 1 All to Final (12:31:00) Official,3,British Columbia,3,07:30.240,15.792
#39 7 Womens Collegiate Novice Heat 1 All to Final (12:31:00) Official,4,San Diego,5,07:35.119,20.671
#39 7 Womens Collegiate Novice Heat 1 All to Final (12:31:00) Official,5,Oklahoma,6,07:35.238,20.790
#39 7 Womens Collegiate Novice Heat 1 All to Final (12:31:00) Official,6,Loyola Marymount,4,08:15.684,01:01.236
"#40 29 Mens Collegiate Novice Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:39:00) Official",1,Orange Coast,1,06:50.264,
