Year,Event,Trophy,Event Descriptions,Race Label,Finish Place,Club Name,Adj Time,Cox,Bow,2,3,4,5,6,7,Stroke,Coach,Seconds
2025,26,Concept2 Trophy,Women's Youth 4X Concept2 Trophy,Final A,7,Texas Rowing Center,7:28.481,,"Griebel, Madeleine","Seals, Ayre","Portilla, Natalia",,,,,"Rivas, Isabel",,448.481
2025,29,,Men's Youth B 4X,Final A,7,St. Mark's School of Texas,6:43.129,,"Stevens, John","Shepro, Jonathan","Hofmann, Andrew",,,,,"Yi, Eric",,403.129
2025,27,Joan Ward Memorial Trophy,Men's Youth 4X Joan Ward Memorial Cup,Final A,7,Marina Aquatic Center Junior Rowing,6:39.773,,"RAKOTA, ANTHONY","Meyer, Declan","Nelson, Charles",,,,,"Prestine, Mateo",,399.773
2025,68,San Diego Rowing Club Cup,Men's Youth 8+ San Diego Rowing Club Cup,Final A,7,Capital Crew,6:27.708,"Hartman, Benjamin","Khan, Hamza","Nesvaderani Flores, Darius","Sansone, Lucas","Adler, Michael","Doherty, Luke","Goertz, Ryan","Trumbauer, Noah","Pierson, Austin",,387.70799999999997
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Final A,8,Capital Crew,7:03.102,"Sun, Michael","Marz, Benjamin","Ternes, Ajaya","Brockly, Hunter","McBrayer, Blaize","Nereutskiy, Maksim","Park, Juhon","Whitney, Connor","Paciotti, Austin",,423.102
2025,1,,Mixed Masters Club 8+,Final A,8,Mt. Baker Crew,7:04.638,"Moravec, Barbara","Arvidson, Amy","Jacks, Alex","NOONAN, ED","Nebel, Bob","Yruretagoyena, Kevin","Leung, Emily","Deering, Maura","Lewis, Dan","Hestad, Vincent",424.638
2025,33,Active & Fit Now™ Cal Cup,Men's Collegiate Varsity 8+ Active&Fit Now™ Cal Cup,Final A,8,University of California - Santa Barbara,6:35.126,"Johnson, Eva","Padilla, Karson","Svendsen-Conn, Alexander","Bombwal, Arjun","Busche, Benjamin","Eldredge, Holden","RICHARDSON, LUTHER-Clinton","Bowser, Andrew","Duffy, Liam",,395.126
2025,22,Ulster Challenge Cup,Women's U16 4X+ Ulster Challenge Cup,Prelim,8,Arizona Junior Rowing Inc.,8:55.767,"Heth, Hannah","Reckers, Kathleen","Rivera, Isabela Noemi","Weiss, Ellie",,,,,"Capozzi, Raphaelle","Stricklin, Geoffrey",535.767
2025,22,Ulster Challenge Cup,Women's U16 4X+ Ulster Challenge Cup,Final,7,Arizona Junior Rowing Inc.,8:55.523,"Heth, Hannah","Reckers, Kathleen","Rivera, Isabela Noemi","Weiss, Ellie",,,,,"Capozzi, Raphaelle","Stricklin, Geoffrey",535.523
2025,24,,Women's U17 4X,Prelim,5,Arizona Junior Rowing Inc.,8:00.778,,"Carbajal, Sofia","Zimmerman, Alayna","Green, Julia",,,,,"Castro, Isabella","Stricklin, Geoffrey",480.778
2025,33,Active & Fit Now™ Cal Cup,Men's Collegiate Varsity 8+ Active&Fit Now™ Cal Cup,Final B,6,Arizona State University,6:58.715,"Daimonji, Kacey","Warner, Blake","Wright, Robert","Ruan, Juan","Ellis, Brady","Kroubalkian, Griffin","Morano, Giancarlo","Mueck, Zackery","Vineyard, Kincaid","Slack, Carmen",418.71500000000003
2025,82,,Women's DII/DIII/Club Collegiate Novice 8+,Final,2,Loyola Marymount University Crew,8:07.951,"Walker, Natalie","Morad, Kate","Danon, Sydney","Alumbaugh, Kailey","Lara, Hailey","Schafer, Olivia","Davis, Caroline","Johnstone, Marion","Datwyler, Veronica",,487.951
2025,67,,Women's Youth 8+,Final A,5,Connecticut Boat Club,7:03.755,"Khamish, Izzy","Weneck, Reagan","Morgenstern, Kamryn","Surette, Norah","Dranchak, Sophia","Bell, Sophie","Calderwood, Camilla","Mickelborough, Charlotte","Sisca, Layla","Trond, Lizabeth",423.755
2025,12,Kaboomer Trophy,Men's Masters G 8+ Kaboomer Trophy (65-69),Final,3,University of San Diego Alumni,7:32.617,"Schulz, Maryssa","Stehly, Matthew","Stormberg, Mark","Bryant, George","Frick, Dave","Krum, Steve","Johnson, Berkeley","Stevens, Eric","Oemcke, Mark",,452.617
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Heat 1,7,Cathedral Catholic High School Crew,7:06.303,"Earley, Megumi","Rull, Andreas","Morales, Landon","Todd, Nico","Presley, Judah","Roberts, Nick","Espinoza Acevedo, Eugenio","MacRae, Tyler","Ashkar, Samuel","Kiser, Jeffrey",426.303
2025,36,Marine Corps Mens Collegiate 2V Cup,Marine Corps Men's Collegiate 2V Cup 8+,Final,7,University of California - Irvine,7:19.656,"St. Peter, Abigail","Goel, Tanush","Pan, Jonathan","Sinclair, Reed","Olmos, Vincenzo","Iyer, Rudradaman","Dolce, Christian","Tomlinson, Aden","Kim, Tyler",,439.656
2025,68,San Diego Rowing Club Cup,Men's Youth 8+ San Diego Rowing Club Cup,Final A,7,Marina Aquatic Center Junior Rowing,6:30.492,"Wilson, Madeleine","Hung, Jarett","Armandpour, Lucas","Chen, Anjun","McCollough, Benjamin","Miller, Oliver","Beebe Read, Kallean","Campbell, Miles","Faynsod, Goose",,390.492
2025,70,,Men's U17 8+,Final A,7,Marina Aquatic Center Junior Rowing,7:16.955,,"Boyle, Gabriel","Henry, Nolan","Veverka, Roman","Atherton, Sebastian","Platt, Hugh","Carcamo, Matthew","Ungerleider, Luke","Gravely, Luka","Lee, Jack",436.955
2025,29,,Men's Youth B 4X,Heat 2,4,St. Mark's School of Texas,6:48.197,,"Stevens, John","Shepro, Jonathan","Hofmann, Andrew",,,,,"Yi, Eric",,408.197
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Final A,8,Long Beach Rowing Association,6:34.359,"Cruz, Edward","Glidden, Robert","Tartaglia, Peter","Bruggeman, Brayden","Fontein, Janis","Anderson, Ross","Kinzer, Dan","McGill, Milton Daniel","Perrot, Robert",,394.359
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Heat 1,3,Marin Rowing Association,6:14.607,"Anawalt, Parker Rose","Lange, Tyler","Younger, John","Kunz, Clayton","Stewart, Brian","Steinman, Josh","Aguiar, Mike","Champagne, Gary","Clemmer, Kenneth","Rodrigues, Rodrigo",374.60699999999997
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Final A,8,Marin Rowing Association,7:37.913,"Skinner, Lily","Lavin, Anna","Einy, Niv","Kunney, Francesca","Anibale, Mia","schafer, margaret","Gardner, Ella Grace","Nadjibi, Hannah","Popper, Sylvia",,457.913
2025,8,,Women's Masters Club 4X,Final A,8,Sammamish Rowing Association,8:09.319,,"Shanor, Stephanie","Benton, Patricia","Neider, Tara",,,,,"Pietila, Kara",,489.319
2025,44,Thalia Kelly Considine Cup,Women's Masters Club Champ 8+ Thalia Kelly Considine Cup,Final A,7,Lake Oswego Community Rowing,7:43.031,"Kramer, Laura","Seitz, Rosealynn","Rice, Jessica","Kennedy, Chloe","Farabee, Kelsey","Jennings, Natalie","Jung, Theresa","Holt, Shannon","Huizing, Marjan","Jennings, Natalie",463.031
2025,26,Concept2 Trophy,Women's Youth 4X Concept2 Trophy,Final A,4,Rowing Club of the Woodlands,7:15.234,,"Bustamante Dacasa, Maria Jose","Krathaus, Enya","Shiver, Lili",,,,,"Muncherjee, Alisha","Kelvin, Richard",435.234
2025,29,,Men's Youth B 4X,Final A,3,Maritime Rowing Club,6:36.380,,"Robertson, Jacob","Kolarich, Maksim","kambas, theo",,,,,"Aluf-Medina, Tal","Vengerovskiy, YAN",396.38
2025,27,Joan Ward Memorial Trophy,Men's Youth 4X Joan Ward Memorial Cup,Final A,3,Maritime Rowing Club,6:27.389,,"Squitieri, John","Vine, Robert","Thompson, David",,,,,"Lupinacci, Matthew","Vengerovskiy, YAN",387.389
2025,29,,Men's Youth B 4X,Heat 1,6,River City Rowing Club,7:19.522,,"Bloom, Max","Cox, Leo","Rogers, Elijah",,,,,"Millwee, Chace",,439.522
2025,24,,Women's U17 4X,Final,4,Seattle Preparatory School,8:10.828,,"Roozen, Nina","Nedialkova Sala, Maria Elena","Kent, Alice",,,,,"Rosauer, Katherine",,490.828
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Final A,7,Washington State University Women's Rowing,7:41.297,"Torres, Sara","Town, Emery","Delavoye, Isabelle","Johnson, Tannith",,,,,"Tuley, Makayla",,461.297
2025,35,Jackie Ann Stitt Hungness Memorial Cup,Women's Collegiate 2V 8+ Jackie Ann Stitt Hungness Trophy,Final A,7,Washington State University Women's Rowing,6:57.771,"Nagy, Phoebe","Jachymek, Isabella","Munro, Lucy","Elliott, Fiona","Kadir, Elle","Johansen, Lis Ana","Proberts, Jaeve","van Leeuwen, Megan","Eden, Samantha",,417.771
2025,33,Active & Fit Now™ Cal Cup,Men's Collegiate Varsity 8+ Active&Fit Now™ Cal Cup,Final A,7,University of California - Davis Crew,6:20.116,"Richardson, Katherine","Rizk, Reid","North, Brandon","Lewis, James","Young, Nash","Hoffmann, Edward","Hermes, Evan","Boyle, Liam","Stratigos, Nikolas",,380.116
2025,36,Marine Corps Mens Collegiate 2V Cup,Marine Corps Men's Collegiate 2V Cup 8+,Heat 1,5,University of California - Davis Crew,6:35.347,"Green, Samantha","Sperow, Jack","Frieser, Tobias","Georgies, Samuel","Joseph, Jonathan","Warnes, Michael","Ramirez, BENJAMIN","Burfoot, Dylan","Yeh, London",,395.347
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Heat 2,4,Newport Aquatic Center,6:20.386,"Bye, Kelly","McCarthy, Ryan","Gallagher, Jackson","Oatman, Dane","Freidenrich, Theodore","Phillips, Trevor","Zilli, Harrison","Cowles, Caleb","Merkel, Joseph",,380.386
2025,70,,Men's U17 8+,Prelim,6,Newport Aquatic Center,6:55.667,"Pathe, Jackson","Olinger, Jackson","Cornejo, Sonny","Ghiassi, Kian","Ghiassi, Kaveh","Woodruff, Layne","Anderson, Leif","Javid, Evan","Bohman, Quinn",,415.66700000000003
2025,8,,Women's Masters Club 4X,Heat 2,6,Newport Aquatic Center,8:26.335,,"Lee, Elisa","Plon, Barbara","Ishop, Kedra",,,,,"Billyou, Jean",,506.335
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Final A,7,Newport Aquatic Center,6:50.578,"Krost, Connor","Duntley, Jacob","Godinez, James","cali, Andrew","ONG, DANIEL","Olinger, William","Ray, Derek","Scarborough, Geoffrey","Mortensen, Steven",,410.578
2025,30,Jessop-Whittier Cup,Women's Varsity 8+ Jessop-Whittier/Cal  Cup Collegiate Invitational,Final A,8,University of California - San Diego Crew,6:49.475,"Petersen, Sabina","Vallancey, Natasha","Norstad, Natalie","Auran, Ciara","Bradley, Laine","Ford, Annica","Anderson, Samantha","Feagler, Lily","Cooper, Kiera",,409.475
2025,39,,Women's Collegiate B 4+ ,Final A,6,Washington State University Women's Rowing,7:59.666,"Brim, Tiger Lily","Montgomery, Poppy","Elliott, Hannah","Horrigan, Jessica",,,,,"Vicente, Daniella",,479.666
2025,22,Ulster Challenge Cup,Women's U16 4X+ Ulster Challenge Cup,Prelim,2,Los Gatos Rowing Club,7:45.528,"Skowrinek, Pearl","vallancey, bella","Kelley, Makayla","Muley, Ziya",,,,,"Mino, Belen",,465.528
2025,75,Kearney Johnston Memorial Cup,Women's Masters E 8+ Kearney Johnston Cup (55-59) ,Final,7,San Diego Rowing Club,8:30.636,"Spoor, Daniela","Trethewey, Kathi","Gjerset, Susan","Hartman, Arlene","Occhioni, Micaela","Ewing, Mary","Mallis, Tara","Minteer, Ellen","Warncke, Janet",,510.636
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Heat 1,7,San Diego Rowing Club,7:55.531,"Stewart, Mia","Gallus, Gabriella","Ward, Catherine","Kulik, Chloe","Ciulli, Bella","Dempsey, Catherine Grace","Ballesteros, Adriana","Rasmussen, Kate","Nichols, Madisen",,475.531
2025,22,Ulster Challenge Cup,Women's U16 4X+ Ulster Challenge Cup,Final,8,San Diego Rowing Club,9:05.513,"Landen, Audrey","Mounier, Elise","Yi, Sarah","Caplan, Abigail",,,,,"Breitenbach, Eden",,545.513
2025,26,Concept2 Trophy,Women's Youth 4X Concept2 Trophy,Final B,6,"ZLAC Rowing Club, LTD",9:09.373,,"Barkett, Grace","Shomphe, August","SANTAMARIA, MARIANA",,,,,"Nielsen, Ellen","Woods, Dianna",549.373
2025,1,,Mixed Masters Club 8+,Final A,7,Los Gatos Rowing Club,7:01.263,"O'Connor, S. A.","Wespi, Rita","Reekie, Shirley","Lopez, Rose","Timpe, Amy","Kaplan, William","Shelton, David","Jane, Jason","McMillan, Jeff","Debellis, Rudy",421.263
2025,21,Rose Cup,Men's U16 8+ Rose Cup,Prelim,0,San Diego Rowing Club,6:59.541,"Brown, Charles","McIntyre-Sanders, Ian","Clark, Danny","McIntyre-Sanders, Ian","Konrad, Andrew","Price, Carson","Wainwright, Noah","Price, Carson","Truyol, Oliwier",,419.541
2025,21,Rose Cup,Men's U16 8+ Rose Cup,Final,0,San Diego Rowing Club,7:06.847,"Brown, Charles","McIntyre-Sanders, Ian","Clark, Danny","McIntyre-Sanders, Ian","Konrad, Andrew","Price, Carson","Wainwright, Noah","Price, Carson","Truyol, Oliwier",,426.847
2025,7,,Men's Masters Club 4X,Final,8,San Diego Rowing Club,7:47.459,,"Tombesi, Paolo","De Jong, Jan","Reed, Terry",,,,,"Mounier, Scott",,467.459
2025,8,,Women's Masters Club 4X,Heat 2,1,Bair Island Aquatic Center (BIAC),7:16.334,,"Brown, Izzie","Perry, Renata","Wienbar, Sharon",,,,,"O'Leary, Meghan","Flynn, Chris",436.334
2025,39,,Women's Collegiate B 4+ ,Heat 2,4,University of San Diego,7:59.325,"Karanian, Elle","Kramer, Grace","Graves, Gavriella","Gillespie, Leilani",,,,,"Church, Ruby",,479.325
2025,8,,Women's Masters Club 4X,Final A,4,Lake Washington Rowing Club,7:23.121,,"Johnson, Kelly","Ricci, Meghan","Northey, Megan",,,,,"Wong, Rachel","Thomas, Jennifer",443.121
2025,7,,Men's Masters Club 4X,Final,5,Bair Island Aquatic Center (BIAC),6:39.358,,"Serrano Cendejas, Jesus","Reilly, Greyson","West, Evan",,,,,"Marcacci, Michael","Flynn, Chris",399.358
2025,1,,Mixed Masters Club 8+,Heat 1,4,Los Gatos Rowing Club,7:25.977,"O'Connor, S. A.","Wespi, Rita","Reekie, Shirley","Lopez, Rose","Timpe, Amy","Kaplan, William","Shelton, David","Jane, Jason","McMillan, Jeff","Debellis, Rudy",445.977
2025,22,Ulster Challenge Cup,Women's U16 4X+ Ulster Challenge Cup,Prelim,7,San Diego Rowing Club,8:44.162,"Landen, Audrey","Mounier, Elise","Yi, Sarah","Caplan, Abigail",,,,,"Breitenbach, Eden",,524.162
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Heat 1,7,Los Gatos Rowing Club,6:58.854,"Roskow, Max","Kaplan, William","Shelton, David","McNamara, Ryan","McMillan, Jeff","Kelm, John","Tagalog, Sylvio","Jane, Jason","McLuhan, Graham","Debellis, Rudy",418.854
2025,41,Carley Copley Cup,Women's Open 8+ Carley Copley Cup,Final A,6,University of California - San Diego Crew,7:35.642,"Halberstadt, Jackie","Swanson, Elizabeth","Handler, Holly","McLeod, Abigail","Ackerstein, Sae","Smith, Mia","Seiger, Audrey","Rowlands, Anna","Yang, Emilie",,455.642
2025,41,Carley Copley Cup,Women's Open 8+ Carley Copley Cup,Prelim,6,University of California - San Diego Crew,7:35.147,"Halberstadt, Jackie","Swanson, Elizabeth","Handler, Holly","McLeod, Abigail","Ackerstein, Sae","Smith, Mia","Seiger, Audrey","Rowlands, Anna","Yang, Emilie",,455.147
2025,25,,Men's U17 4X,Final,5,Redwood Scullers/PACJC,7:17.365,,"Mulloy, Tobey","Hlupnov, Nikita","Tulek, Deniz",,,,,"Nagabhushan, Samrudh",,437.365
2025,27,Joan Ward Memorial Trophy,Men's Youth 4X Joan Ward Memorial Cup,Final A,6,Redwood Scullers/PACJC,6:32.839,,"Perlroth, Zander","Kawaja, Reid","Skey, H",,,,,"Dent, Wyatt",,392.839
2025,28,,Women's Youth B 4X,Final A,4,Redwood Scullers/PACJC,7:25.212,,"Sanders, Sidra","Taner, Charis","Hansen, Sidney",,,,,"Lewis, Verity",,445.212
2025,70,,Men's U17 8+,Final A,6,Newport Aquatic Center,6:53.649,"Pathe, Jackson","Olinger, Jackson","Cornejo, Sonny","Ghiassi, Kian","Ghiassi, Kaveh","Woodruff, Layne","Anderson, Leif","Javid, Evan","Bohman, Quinn",,413.649
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Final A,4,Newport Aquatic Center,7:22.062,"Zunzunegui, Zulema","Espinosa, Ella Lin","Steege, Jade","Karnick, Lexie","Wainberg, Evan","Kelly, Kimora","Tadeo, Sophia","Beary, Helen","Aceves, Sydney",,442.062
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Final A,4,Norcal Crew,6:31.330,"Tam, Jasper","Phillips, Soren","Alataris, Marco","Heller, Ethan","Dakin, Thoreson","Chernoff, Nathan","Ochoa, Alex","Thiyagarajan, Tilak","Sin, Tobias","Kaitz, John",391.33
2025,21,Rose Cup,Men's U16 8+ Rose Cup,Prelim,5,Norcal Crew,6:57.051,"Edwards, Alice","Liu, Chase","Lundgren, Theo","Sah, Julian","Trifan, Paul","Kauffman, Rafael","elgierari, mohamed","Jacobs, Jazper","Guedelhoefer, Toby",,417.051
2025,25,,Men's U17 4X,Prelim,5,Seattle Preparatory School,7:10.560,,"Litke, Stephen","Metcalf, Nathaniel","Miklos, Alexander",,,,,"Sly, Paul",,430.56
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Heat 2,5,Palmer Racing,6:32.010,"Mund, Christian","Owston, Thomas","McLaughlin, James","Werntz, Bradley","Garcia, Gracio","Rubin, Bret","Harwood, Lou","Palmer, Henry","Gentry, Todd",,392.01
2025,30,Jessop-Whittier Cup,Women's Varsity 8+ Jessop-Whittier/Cal  Cup Collegiate Invitational,Final A,7,UCLA Women's Rowing,6:44.915,"Tatum, Annie","Wegener, Helena","Brunel, Sarah","Frassrand, Kaija","Loeb, Audrey","Otway, Kyla","McCracken, Meghan","Monaci, Lucrezia","Rubeo, Francesca",,404.915
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Final A,4,UCLA Women's Rowing,7:32.015,"Barber, Caroline","Staelens, Zoe","Symanski, Rowan","Compagnucci, Sandra",,,,,"DeFrancisci, Danielle",,452.015
2025,35,Jackie Ann Stitt Hungness Memorial Cup,Women's Collegiate 2V 8+ Jackie Ann Stitt Hungness Trophy,Final A,5,UCLA Women's Rowing,6:49.480,"Van Fleet, Ella","Katz, Rachel","Brown, Lauren","Hales, Lydia","Tahawi, Cleopatra","Prindiville, Claire","Vail, Kate","O'Neil, Ella","Monster, Kamryn",,409.48
2025,29,,Men's Youth B 4X,Heat 1,3,Seattle Preparatory School,6:39.701,,"Ahn, Christopher","Vlasceanu, Nicholas","Robinson, Ian",,,,,"Gulmann, Alexander",,399.701
2025,26,Concept2 Trophy,Women's Youth 4X Concept2 Trophy,Final A,6,Seattle Preparatory School,7:21.235,,"Olivar, Sofia","Reed, London","Desai, Asa",,,,,"Noble, Lucy",,441.235
2025,39,,Women's Collegiate B 4+ ,Final A,5,UCLA Women's Rowing,7:54.528,"Jacquay, Emma","mcdermott, Siena","Devine, Angela","Adey, Julia",,,,,"Walsh, Noelle",,474.528
2025,29,,Men's Youth B 4X,Final A,4,River City Rowing Club,6:39.593,,"Gough, Elliott","King, Julian","Bzoskie, Kai",,,,,"Oehmke, Henry",,399.593
2025,29,,Men's Youth B 4X,Heat 2,7,Rowing Club of the Woodlands,7:19.020,,"Bebak, Evan","Godin, Elliot","Manrique, Adrian",,,,,"Adams, Charles","Kelvin, Richard",439.02
2025,29,,Men's Youth B 4X,Final B,4,Rowing Club of the Woodlands,7:37.562,,"Bebak, Evan","Godin, Elliot","Manrique, Adrian",,,,,"Adams, Charles","Kelvin, Richard",457.562
2025,67,,Women's Youth 8+,Final A,8,River City Rowing Club,7:26.152,"Sipanya-Wallace, Saliah","Nordberg, Maya","Riddle, Nora","Lyons, Jacqueline","O'Brien, Gwyneth","Green, Isabelle","Grossman, Lilah","Aue, Louisa","Schult, Sophia",,446.152
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Heat 2,6,River City Rowing Club,7:33.812,"King, Gabrielle","Cinder, Olivia","He, Jade","Carpenter, Annabelle","Avila, Kris","Schwarz, Gali","Mills, Lillian","Ali, Talya","Buchanan, Lucy",,453.812
2025,1,,Mixed Masters Club 8+,Final A,5,Marin Rowing Association,6:52.906,"Hamill, George","Press, Kimberly","Wagner, Mary","Bowman, Jennifer","Lowenstein, Diane","Maushardt, Will","Wagner, Robert","Namdar, Cyrus","Kropelnicki, Benjamin",,412.906
2025,11,Oarlock Trophy,Men's Masters F 8+ Grand Masters Oarlock Trophy (60-64) ,Final,2,Marin Rowing Association,6:51.927,"Stearns, Murphy","King, Benjamin","Rinehart, Gregory","Stralka, Mike","paradis, paul","Laurberg, Bjoern","Kennel, John","DeRuff, David","Clark, Kevin","Rodrigues, Rodrigo",411.927
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Final A,5,Cambridge Boat Club,6:13.562,"Zecha, Alden","Lambert, John","Murphy, Russell","Scannell, Richard","Cataldo, Mike","Darling, Thomas","Grant, Jonathan","Manson, James","Pierce, James",,373.562
2025,31,Grace Rett Memorial Cup,Women's DII/III/Club Collegiate Varsity 8+ Grace Rett Memorial Cup,Prelim,5,Clark University Crew,8:05.864,"mills, Mira","Cavanagh, Anna","Leavitt, Charlotte","Chace, Danielle","Bodner, Brianna","Southall, Caroline","Tinklenberg, Anna","Powdermaker, Lucy","Woods, Katelynn",,485.864
2025,8,,Women's Masters Club 4X,Heat 1,4,Sammamish Rowing Association,8:24.664,,"Shanor, Stephanie","Benton, Patricia","Neider, Tara",,,,,"Pietila, Kara",,504.664
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Final B,3,Texas Rowing Center,7:11.747,"Morgan, Aubrey","Escobar, Edwin","Anderson, John","Robinson, Craig","Ellis, Philip","Frey, Fred","Minzenmayer, Brian","Bolton, Scott","Meiske, Erich",,431.747
2025,75,Kearney Johnston Memorial Cup,Women's Masters E 8+ Kearney Johnston Cup (55-59) ,Final,3,Texas Rowing Center,7:41.099,"Jammula, Triyatha","Breston, Elizabeth","Erlinger, Trish","Embleton, Stella","Ream, Megan","McCord, Rose","Doerre, Sharon","Brown, Rachel","Skeffington, Kristina",,461.099
2025,44,Thalia Kelly Considine Cup,Women's Masters Club Champ 8+ Thalia Kelly Considine Cup,Final A,5,Potomac Boat Club,7:23.620,"Carter, Ashley","Larose, Sarah","Farris, Phoebe","Aberle, Grace","Carney, Elizabeth","Olin, Emily","Penner, Jacqueline","Nash, Kathryn","Gluntz, Alexandra",,443.62
2025,33,Active & Fit Now™ Cal Cup,Men's Collegiate Varsity 8+ Active&Fit Now™ Cal Cup,Final A,6,Marietta College,6:17.943,"Garrett, Declan","Rucker, Kyle","Jones, Carson","Pachete, Nicholas","Rought, Gary","Invernizzi Cuyer, Nicolas Orlando","Campbell, Ryan","Swale, Michael","Harper, Benjamin",,377.943
2025,68,San Diego Rowing Club Cup,Men's Youth 8+ San Diego Rowing Club Cup,Final A,6,St. Ignatius College Prep,6:26.707,"Grasso, Michael","Devlin, Kieran","Arieta, Michael","Cecchini, Andrew","Morganson, Tai","Smith, Ethan","Ibarra-Rivera, Lucas","Winters, Pierce","Ruane, Brendan",,386.707
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Heat 1,6,Marina Aquatic Center Junior Rowing,6:50.789,"Zolkin, Tatum","Arimoto, Isaac","Scaduto, Mario","Gardner, Theodore","Spearman, Asher","Greenblatt, Asher","Kosinski, Julian","McZeal, Jaaziah","Perttula, Lukas",,410.789
