Event #,Trophy,Event,Heat,Place,Boat,Time
3,,"Mens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:36:00) Official",,1,"Redwood Scullers B (Howe, K.)",06:46.200
3,,"Mens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:36:00) Official",,2,"New Canaan Crew A (Hooper, N.)",06:46.866
3,,"Mens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:36:00) Official",,3,"OKC Riversport (Gallagher, J.)",06:48.862
3,,"Mens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:36:00) Official",,4,"Texas Rowing Center (Barrera-Waters, A.)",06:51.812
3,,"Mens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:36:00) Official",,5,"Dallas United Crew (Schweizer, A.)",06:53.116
3,,"Mens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:36:00) Official",,6,"Newport Sea Base Rowing (Kallins, D.)",07:14.180
3,,"Mens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:36:00) Official",,,,
4,,Mens Varsity High School 4x Heat 2 (07:44:00) Official,,1,"Redwood Scullers A (Almogy, I.)",06:47.516
4,,Mens Varsity High School 4x Heat 2 (07:44:00) Official,,2,Vashon Island (Torsten Ormseth),06:51.400
4,,Mens Varsity High School 4x Heat 2 (07:44:00) Official,,3,"Seattle Scullers (Heid, M.)",06:52.176
4,,Mens Varsity High School 4x Heat 2 (07:44:00) Official,,4,"New Canaan Crew B (Daly, Q.)",06:55.030
4,,Mens Varsity High School 4x Heat 2 (07:44:00) Official,,5,"Long Beach Junior Crew (Chakos, L.)",07:00.778
4,,Mens Varsity High School 4x Heat 2 (07:44:00) Official,,6,"Utah (Carlebach, D.)",07:09.626
4,,Mens Varsity High School 4x Heat 2 (07:44:00) Official,,7,"Redwood Scullers C (Cho, A.)",07:16.752
4,,Mens Varsity High School 4x Heat 2 (07:44:00) Official,,,,
5,,"Womens HS Novice Heat 1 1­4 to F1, Remainder to F2 (07:52:00) Official",,1,Marin,07:17.883
5,,"Womens HS Novice Heat 1 1­4 to F1, Remainder to F2 (07:52:00) Official",,2,Marina Aquatic Center,07:31.988
5,,"Womens HS Novice Heat 1 1­4 to F1, Remainder to F2 (07:52:00) Official",,3,Oakland Strokes,07:36.389
5,,"Womens HS Novice Heat 1 1­4 to F1, Remainder to F2 (07:52:00) Official",,4,Sammamish Rowing Association,07:42.718
5,,"Womens HS Novice Heat 1 1­4 to F1, Remainder to F2 (07:52:00) Official",,5,Los Gatos,08:07.261
5,,"Womens HS Novice Heat 1 1­4 to F1, Remainder to F2 (07:52:00) Official",,6,OKC Riversport,08:33.668
5,,"Womens HS Novice Heat 1 1­4 to F1, Remainder to F2 (07:52:00) Official",,7,CCHS Crew,08:38.329
5,,"Womens HS Novice Heat 1 1­4 to F1, Remainder to F2 (07:52:00) Official",,,,
6,,Womens HS Novice Heat 2 (08:00:00) Official,,1,Newport A,07:10.055
6,,Womens HS Novice Heat 2 (08:00:00) Official,,2,Norcal Crew,07:18.401
6,,Womens HS Novice Heat 2 (08:00:00) Official,,3,Capital,07:18.403
6,,Womens HS Novice Heat 2 (08:00:00) Official,,4,Pacific,07:22.453
6,,Womens HS Novice Heat 2 (08:00:00) Official,,5,Long Beach Junior Crew,07:30.723
6,,Womens HS Novice Heat 2 (08:00:00) Official,,6,Newport B,07:38.518
6,,Womens HS Novice Heat 2 (08:00:00) Official,,7,San Diego RC,07:45.420
6,,Womens HS Novice Heat 2 (08:00:00) Official,,,,
7,,"Mens HS Novice Heat 1 1­4 to F1, Remainder to F2 (08:08:00) Official",,1,Newport,06:31.371
7,,"Mens HS Novice Heat 1 1­4 to F1, Remainder to F2 (08:08:00) Official",,2,Long Beach Junior Crew,06:37.866
7,,"Mens HS Novice Heat 1 1­4 to F1, Remainder to F2 (08:08:00) Official",,3,Sammamish Rowing Association,06:43.440
7,,"Mens HS Novice Heat 1 1­4 to F1, Remainder to F2 (08:08:00) Official",,4,Norcal Crew,06:50.523
7,,"Mens HS Novice Heat 1 1­4 to F1, Remainder to F2 (08:08:00) Official",,5,Marina Aquatic Center,06:50.650
7,,"Mens HS Novice Heat 1 1­4 to F1, Remainder to F2 (08:08:00) Official",,6,OKC Riversport,07:08.295
7,,"Mens HS Novice Heat 1 1­4 to F1, Remainder to F2 (08:08:00) Official",,,,
8,,Mens HS Novice Heat 2 (08:16:00) Official,,1,Capital,06:35.821
8,,Mens HS Novice Heat 2 (08:16:00) Official,,2,Oakland Strokes,06:38.056
8,,Mens HS Novice Heat 2 (08:16:00) Official,,3,San Diego RC,06:40.745
8,,Mens HS Novice Heat 2 (08:16:00) Official,,4,"Los Gatos (Renner, J.)",06:44.316
8,,Mens HS Novice Heat 2 (08:16:00) Official,,5,Pacific,06:47.088
8,,Mens HS Novice Heat 2 (08:16:00) Official,,6,Jesuit College Prep of Dallas,06:53.861
8,,Mens HS Novice Heat 2 (08:16:00) Official,,,,
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,1,Purdue,06:04.127
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,2,Santa Clara,06:07.947
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,3,Orange Coast,06:14.265
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,4,UCLA,06:16.715
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,5,West Point,06:17.839
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,6,Fordham,06:26.739
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,7,SDSU - Men,06:40.559
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,8,Long Beach State Rowing,07:19.829
9,,"Mens Varsity American Specialty Health Cup Heat 1 1­4 to F1, Remainder to F2 (08:24:00) Official",,,,
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,1,UC San Diego,06:06.428
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,2,UC Santa Barbara,06:09.700
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,3,UC Davis,06:11.512
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,4,MIT,06:11.794
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,5,Boston College,06:12.872
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,6,San Diego,06:13.334
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,7,Loyola Marymount,06:25.922
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,8,U of Calgary RC,06:46.026
10,,Mens Varsity American Specialty Health Cup Heat 2 (08:32:00) Official,,,,
11,,"2 Women's Varsity UC San Diego Health Cup Heat 1 1­3 to F1, Remainder to F2 (08:40:00) Official",,1,Georgetown,06:47.895
11,,"2 Women's Varsity UC San Diego Health Cup Heat 1 1­3 to F1, Remainder to F2 (08:40:00) Official",,2,Sacramento State,06:49.369
11,,"2 Women's Varsity UC San Diego Health Cup Heat 1 1­3 to F1, Remainder to F2 (08:40:00) Official",,3,"Seattle Pacific (Chalfant, M.)",06:50.577
11,,"2 Women's Varsity UC San Diego Health Cup Heat 1 1­3 to F1, Remainder to F2 (08:40:00) Official",,4,Saint Marys (CA),06:53.145
11,,"2 Women's Varsity UC San Diego Health Cup Heat 1 1­3 to F1, Remainder to F2 (08:40:00) Official",,5,Fordham,07:04.129
11,,"2 Women's Varsity UC San Diego Health Cup Heat 1 1­3 to F1, Remainder to F2 (08:40:00) Official",,,,
12,,2 Women's Varsity UC San Diego Health Cup Heat 2 (08:48:00) Official,,1,San Diego,06:39.599
12,,2 Women's Varsity UC San Diego Health Cup Heat 2 (08:48:00) Official,,2,Drexel,06:40.001
12,,2 Women's Varsity UC San Diego Health Cup Heat 2 (08:48:00) Official,,3,Loyola Marymount,06:41.593
12,,2 Women's Varsity UC San Diego Health Cup Heat 2 (08:48:00) Official,,4,"University of Wisconsin (D'Souza, G.)",06:41.887
12,,2 Women's Varsity UC San Diego Health Cup Heat 2 (08:48:00) Official,,5,UC San Diego,06:51.139
12,,2 Women's Varsity UC San Diego Health Cup Heat 2 (08:48:00) Official,,,,
13,,Womens Collegiate Varsity DII/III/Club Heat 1 All to F1 (08:56:00) Official,,1,UC Santa Barbara,06:52.808
13,,Womens Collegiate Varsity DII/III/Club Heat 1 All to F1 (08:56:00) Official,,2,Purdue,06:59.818
13,,Womens Collegiate Varsity DII/III/Club Heat 1 All to F1 (08:56:00) Official,,3,U of Calgary RC,07:06.380
13,,Womens Collegiate Varsity DII/III/Club Heat 1 All to F1 (08:56:00) Official,,4,"UC Davis (Quillen, R.)",07:13.152
13,,Womens Collegiate Varsity DII/III/Club Heat 1 All to F1 (08:56:00) Official,,5,West Point,07:14.604
13,,Womens Collegiate Varsity DII/III/Club Heat 1 All to F1 (08:56:00) Official,,6,UC Irvine,07:21.512
13,,Womens Collegiate Varsity DII/III/Club Heat 1 All to F1 (08:56:00) Official,,,,
14,,"Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 1 1­3 to F1, 4­5 to F2 (09:04:00) Official",,1,California,06:19.254
14,,"Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 1 1­3 to F1, 4­5 to F2 (09:04:00) Official",,2,Texas Austin,06:21.604
14,,"Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 1 1­3 to F1, 4­5 to F2 (09:04:00) Official",,3,Washington State,06:35.130
14,,"Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 1 1­3 to F1, 4­5 to F2 (09:04:00) Official",,4,Stanford Lightweight Women,06:38.198
14,,"Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 1 1­3 to F1, 4­5 to F2 (09:04:00) Official",,5,Oklahoma,06:47.076
14,,"Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 1 1­3 to F1, 4­5 to F2 (09:04:00) Official",,,,
15,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 2 (09:12:00) Official,,1,Washington,06:24.206
15,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 2 (09:12:00) Official,,2,Stanford - Women,06:25.930
15,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 2 (09:12:00) Official,,3,UCLA,06:35.596
15,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 2 (09:12:00) Official,,4,Tennessee - Women,06:45.386
15,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 2 (09:12:00) Official,,5,"Gonzaga (Harder, C.)",06:47.214
15,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 2 (09:12:00) Official,,6,SDSU,06:57.044
15,,Womens Collegiate Varsity Jessop­Whittier Cup Invitational Heat 2 (09:12:00) Official,,,,
16,,Mens Collegiate Varsity Copley Cup Invitational Heat 1 All to F1 (09:20:00) Official,,1,California,06:32.084
16,,Mens Collegiate Varsity Copley Cup Invitational Heat 1 All to F1 (09:20:00) Official,,,,
17,,Mens Collegiate Varsity Copley Cup Invitational Heat 2 (09:24:00) Official,,,,
18,,"Mens Collegiate 2V Sharp Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (09:28:00) Official",,1,"Yale (Kamp, H.)",06:05.329
18,,"Mens Collegiate 2V Sharp Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (09:28:00) Official",,2,Santa Clara,06:22.113
18,,"Mens Collegiate 2V Sharp Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (09:28:00) Official",,3,UC Davis,06:28.179
18,,"Mens Collegiate 2V Sharp Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (09:28:00) Official",,4,UC Santa Barbara,06:34.937
18,,"Mens Collegiate 2V Sharp Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (09:28:00) Official",,5,San Diego,06:40.987
18,,"Mens Collegiate 2V Sharp Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (09:28:00) Official",,,,
19,,Mens Collegiate 2V Sharp Memorial Cup Heat 2 (09:36:00) Official,,1,California,06:00.238
19,,Mens Collegiate 2V Sharp Memorial Cup Heat 2 (09:36:00) Official,,2,UC San Diego,06:20.544
19,,Mens Collegiate 2V Sharp Memorial Cup Heat 2 (09:36:00) Official,,3,Boston College,06:23.688
19,,Mens Collegiate 2V Sharp Memorial Cup Heat 2 (09:36:00) Official,,4,Orange Coast,06:29.964
19,,Mens Collegiate 2V Sharp Memorial Cup Heat 2 (09:36:00) Official,,5,SDSU - Men,06:54.866
19,,Mens Collegiate 2V Sharp Memorial Cup Heat 2 (09:36:00) Official,,,,
20,,"Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (09:44:00) Official",,1,California,06:41.493
20,,"Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (09:44:00) Official",,2,"Washington State (Duthart, M.)",06:59.581
20,,"Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (09:44:00) Official",,3,Loyola Marymount,07:01.535
20,,"Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (09:44:00) Official",,4,"Gonzaga (Harder, C.)",07:05.835
20,,"Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (09:44:00) Official",,5,San Diego,07:07.369
20,,"Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (09:44:00) Official",,,,
21,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 2 (09:52:00) Official,,1,"Washington (Green, M.)",06:45.479
21,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 2 (09:52:00) Official,,2,UCLA,06:58.467
21,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 2 (09:52:00) Official,,3,Tennessee - Women,07:02.303
21,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 2 (09:52:00) Official,,4,Sacramento State,07:06.859
21,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 2 (09:52:00) Official,,5,Drexel,07:12.013
21,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 2 (09:52:00) Official,,6,Saint Marys (CA),07:38.561
21,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 2 (09:52:00) Official,,,,
22,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 3 (10:00:00) Official,,1,Stanford - Women,06:43.192
22,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 3 (10:00:00) Official,,2,Texas Austin,06:49.086
22,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 3 (10:00:00) Official,,3,Oklahoma,06:57.174
22,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 3 (10:00:00) Official,,4,SDSU,07:13.110
22,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 3 (10:00:00) Official,,5,Fordham,07:21.386
22,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 3 (10:00:00) Official,,6,UC San Diego,07:55.092
22,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Heat 3 (10:00:00) Official,,,,
23,,"Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (10:08:00) Official",,1,California,07:37.873
23,,"Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (10:08:00) Official",,2,UCLA,07:47.097
23,,"Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (10:08:00) Official",,3,"Gonzaga (Davey, G.)",08:03.083
23,,"Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (10:08:00) Official",,4,San Diego,08:05.223
23,,"Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (10:08:00) Official",,5,Sacramento State,08:18.303
23,,"Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (10:08:00) Official",,,,
24,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 2 (10:16:00) Official,,1,"Washington (Drapp, H.)",07:33.941
24,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 2 (10:16:00) Official,,2,Oklahoma,07:44.107
24,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 2 (10:16:00) Official,,3,"Washington State (Barrett, E.)",08:00.379
24,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 2 (10:16:00) Official,,4,Loyola Marymount,08:06.349
24,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 2 (10:16:00) Official,,5,UC San Diego,08:22.157
24,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 2 (10:16:00) Official,,,,
25,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 3 (10:24:00) Official,,1,Stanford - Women,07:33.398
25,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 3 (10:24:00) Official,,2,Texas Austin,07:38.314
25,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 3 (10:24:00) Official,,3,Tennessee - Women,07:56.870
25,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 3 (10:24:00) Official,,4,SDSU,08:01.442
25,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 3 (10:24:00) Official,,5,Saint Marys (CA),08:50.106
25,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Heat 3 (10:24:00) Official,,,,
26,,"Mens Collegiate Novice Derek Guelker Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (10:32:00) Official",,1,California,06:25.733
26,,"Mens Collegiate Novice Derek Guelker Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (10:32:00) Official",,2,UCLA,07:02.291
26,,"Mens Collegiate Novice Derek Guelker Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (10:32:00) Official",,3,Southern California,07:13.077
26,,"Mens Collegiate Novice Derek Guelker Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (10:32:00) Official",,4,Long Beach State Rowing,07:17.671
26,,"Mens Collegiate Novice Derek Guelker Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (10:32:00) Official",,5,UC Davis,07:40.003
26,,"Mens Collegiate Novice Derek Guelker Memorial Cup Heat 1 1­4 to F1, Remainder to F2 (10:32:00) Official",,,,
27,,Mens Collegiate Novice Derek Guelker Memorial Cup Heat 2 (10:40:00) Official,,1,Orange Coast,06:40.084
27,,Mens Collegiate Novice Derek Guelker Memorial Cup Heat 2 (10:40:00) Official,,2,UC Santa Barbara,06:54.730
27,,Mens Collegiate Novice Derek Guelker Memorial Cup Heat 2 (10:40:00) Official,,3,SDSU - Men (Alex Ortiz),06:59.118
27,,Mens Collegiate Novice Derek Guelker Memorial Cup Heat 2 (10:40:00) Official,,,,
28,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Heat 1 All to F1 (10:48:00) Official,,1,Texas Austin,06:57.932
28,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Heat 1 All to F1 (10:48:00) Official,,2,"Washington (Anderson-Kundig, S.)",07:00.344
28,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Heat 1 All to F1 (10:48:00) Official,,3,UCLA,07:21.822
28,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Heat 1 All to F1 (10:48:00) Official,,4,Oklahoma,07:28.290
28,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Heat 1 All to F1 (10:48:00) Official,,5,University of Wisconsin,07:30.620
28,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Heat 1 All to F1 (10:48:00) Official,,6,Sacramento State,07:37.614
28,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Heat 1 All to F1 (10:48:00) Official,,7,UC San Diego,08:09.600
28,,Womens Collegiate Novice Laurel Korholz Perpetual Trophy Heat 1 All to F1 (10:48:00) Official,,,,
29,,"Mens Alumni Cup Heat 1 1­4 to F1, Remainder to F2 (10:56:00) Official",,1,"Fat Cat (Kwan, J.)",06:43.637
29,,"Mens Alumni Cup Heat 1 1­4 to F1, Remainder to F2 (10:56:00) Official",,2,"FriendsofCaliforniaMen'sCrew (Kader, C.)",06:58.269
29,,"Mens Alumni Cup Heat 1 1­4 to F1, Remainder to F2 (10:56:00) Official",,3,UCLA,07:04.267
29,,"Mens Alumni Cup Heat 1 1­4 to F1, Remainder to F2 (10:56:00) Official",,4,"USC (Evans, C.)",07:14.845
29,,"Mens Alumni Cup Heat 1 1­4 to F1, Remainder to F2 (10:56:00) Official",,5,"Long Beach State Rowing (McCrea, S.)",07:18.407
29,,"Mens Alumni Cup Heat 1 1­4 to F1, Remainder to F2 (10:56:00) Official",,,,
30,,Mens Alumni Cup Heat 2 (11:04:00) Official,,1,"FriendsofCaliforniaMen'sCrew (Guregian, N.)",06:30.032
30,,Mens Alumni Cup Heat 2 (11:04:00) Official,,2,Club Nautico De San Juan,06:35.610
30,,Mens Alumni Cup Heat 2 (11:04:00) Official,,3,Isla Vista,06:36.256
30,,Mens Alumni Cup Heat 2 (11:04:00) Official,,4,UC San Diego,07:09.478
30,,Mens Alumni Cup Heat 2 (11:04:00) Official,,5,Isla Vista,07:14.206
30,,Mens Alumni Cup Heat 2 (11:04:00) Official,,,,
31,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 1 1­4 to F1, Remainder to F2 (11:12:00) Official",,1,"Radcliffe Alumnae (Pearson, S.)",07:49.887
31,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 1 1­4 to F1, Remainder to F2 (11:12:00) Official",,2,Fat Cat,07:53.915
31,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 1 1­4 to F1, Remainder to F2 (11:12:00) Official",,3,"UCSB Alumni (Lewis, S.)",08:01.107
31,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 1 1­4 to F1, Remainder to F2 (11:12:00) Official",,,,
32,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 2 (11:20:00) Official",,1,Brown Women,07:25.561
32,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 2 (11:20:00) Official",,2,San Diego B,07:35.777
32,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 2 (11:20:00) Official",,3,Stanford Lightweight Women,07:36.065
32,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 2 (11:20:00) Official",,4,San Diego A,07:50.811
32,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 2 (11:20:00) Official",,5,"UCSB Alumni (Ledna, C.)",08:33.769
32,,"Womens Alumni Prudential, Dunn REALTORS Cup** Heat 2 (11:20:00) Official",,,,
33,,"Mens Masters Club Champ Heat 1 1­4 to F1, Remainder to F2 (11:28:00) Official",,1,"Cambridge (Pierce, J.)",07:00.819
33,,"Mens Masters Club Champ Heat 1 1­4 to F1, Remainder to F2 (11:28:00) Official",,2,"London (Harries, S.)",06:52.507
33,,"Mens Masters Club Champ Heat 1 1­4 to F1, Remainder to F2 (11:28:00) Official",,3,"Rocky Mountain (Springer, G.)",07:29.267
33,,"Mens Masters Club Champ Heat 1 1­4 to F1, Remainder to F2 (11:28:00) Official",,4,"North Dakota (Hess, M.)",06:54.967
33,,"Mens Masters Club Champ Heat 1 1­4 to F1, Remainder to F2 (11:28:00) Official",,5,"S.A.C. (Stroud, J.)",07:43.765
33,,"Mens Masters Club Champ Heat 1 1­4 to F1, Remainder to F2 (11:28:00) Official",,6,"Harvard Alum 1992 (Caughey, T.)",07:22.783
33,,"Mens Masters Club Champ Heat 1 1­4 to F1, Remainder to F2 (11:28:00) Official",,,,
34,,Mens Masters Club Champ Heat 2 (11:36:00) Official,,1,Texas Rowing Center,06:59.685
34,,Mens Masters Club Champ Heat 2 (11:36:00) Official,,2,Sammamish Rowing Association,07:12.263
34,,Mens Masters Club Champ Heat 2 (11:36:00) Official,,3,Potomac,06:54.457
34,,Mens Masters Club Champ Heat 2 (11:36:00) Official,,4,East Bay (Greg Specht),07:10.005
34,,Mens Masters Club Champ Heat 2 (11:36:00) Official,,5,"San Diego RC (Burns, S.)",07:04.569
34,,Mens Masters Club Champ Heat 2 (11:36:00) Official,,6,Lake Union (Martin Heyn),07:21.717
34,,Mens Masters Club Champ Heat 2 (11:36:00) Official,,,,
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,1,Potomac,07:29.069
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,2,"S.A.C. (Nelson, H.)",08:13.697
